LMScore,HScore,Verdict
0.0,0.0,neutral
0.0,0.0,neutral
0.0,0.0,positive
0.0,0.99999950000025,positive
0.99999950000025,0.9999996666667778,positive
0.0,-0.9999990000010001,neutral
-0.9999990000010001,0.0,positive
0.0,0.9999990000010001,positive
-0.9999990000010001,0.9999990000010001,neutral
0.0,0.0,positive
0.9999990000010001,0.33333322222225925,negative
0.9999990000010001,0.9999990000010001,neutral
0.9999990000010001,0.0,negative
0.99999950000025,0.9999996666667778,neutral
0.0,0.9999990000010001,positive
0.9999990000010001,0.9999997500000625,positive
0.0,0.0,positive
0.0,0.33333322222225925,negative
0.0,0.9999990000010001,positive
0.9999990000010001,0.9999990000010001,positive
0.0,0.0,neutral
0.9999990000010001,0.0,positive
0.9999990000010001,0.99999950000025,positive
0.0,0.0,positive
-0.9999990000010001,0.9999990000010001,negative
0.0,0.99999950000025,negative
0.0,0.9999997500000625,positive
0.0,0.199999960000008,neutral
0.0,0.0,negative
-0.9999990000010001,-0.33333322222225925,negative
0.0,0.9999990000010001,positive
0.0,0.49999987500003124,neutral
0.0,0.0,negative
-0.99999950000025,-0.33333322222225925,negative
-0.9999990000010001,0.0,negative
-0.9999990000010001,0.0,neutral
0.0,0.99999950000025,neutral
-0.9999990000010001,-0.99999950000025,neutral
-0.9999990000010001,0.9999990000010001,positive
0.9999990000010001,0.0,negative
0.0,0.0,negative
-0.9999990000010001,-0.9999990000010001,negative
0.0,0.0,positive
-0.9999990000010001,0.99999950000025,positive
0.9999990000010001,0.99999950000025,positive
0.0,0.9999990000010001,positive
0.0,0.7499999062500118,positive
0.9999990000010001,0.33333322222225925,negative
-0.9999990000010001,-0.9999990000010001,neutral
-0.9999990000010001,-0.33333322222225925,negative
0.9999990000010001,0.9999997500000625,neutral
0.0,0.99999950000025,positive
0.0,0.9999990000010001,positive
0.0,0.599999880000024,neutral
-0.9999990000010001,0.0,negative
0.0,0.9999990000010001,positive
0.9999990000010001,0.9999997500000625,positive
0.0,-0.9999990000010001,negative
0.0,0.599999880000024,positive
0.0,-0.9999990000010001,neutral
0.0,0.33333322222225925,neutral
-0.9999990000010001,0.9999990000010001,positive
0.9999990000010001,0.99999950000025,negative
0.0,0.9999990000010001,positive
0.9999990000010001,0.9999996666667778,positive
0.0,0.0,positive
0.0,0.9999996666667778,neutral
0.0,0.9999990000010001,positive
0.0,0.0,neutral
0.9999990000010001,0.9999990000010001,positive
0.99999950000025,0.599999880000024,positive
-0.99999950000025,-0.33333322222225925,negative
-0.9999990000010001,0.0,neutral
0.0,0.99999950000025,neutral
-0.9999996666667778,-0.9999997500000625,negative
0.0,0.0,positive
0.0,0.99999950000025,positive
0.9999990000010001,-0.33333322222225925,neutral
0.9999990000010001,0.9999990000010001,positive
0.9999990000010001,0.99999950000025,negative
0.0,0.99999980000004,neutral
0.0,0.99999950000025,neutral
0.9999990000010001,0.9999996666667778,negative
-0.9999990000010001,0.99999950000025,positive
0.0,0.9999996666667778,negative
0.0,0.0,positive
-0.9999990000010001,0.0,negative
0.0,0.9999990000010001,neutral
0.0,0.0,neutral
0.0,-0.9999990000010001,positive
